# config mode routing selection
mesh_8x8_buf4 wired XY RANDOM
mesh_8x8_buf4 wired WEST_FIRST RANDOM
mesh_8x8_buf4 wired NORTH_LAST BUFFER_LEVEL
mesh_8x8_buf4 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_8x8_buf4 wired ODD_EVEN NOP
mesh_8x8_buf4 wired DYAD NOP
mesh_8x8_buf4 wired TABLE_BASED RANDOM
mesh_8x8_buf4 wireless XY RANDOM
mesh_8x8_buf4 wireless ODD_EVEN BUFFER_LEVEL
mesh_8x8_buf8 wired XY RANDOM
mesh_8x8_buf8 wired WEST_FIRST RANDOM
mesh_8x8_buf8 wired NORTH_LAST BUFFER_LEVEL
mesh_8x8_buf8 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_8x8_buf8 wired ODD_EVEN NOP
mesh_8x8_buf8 wired DYAD NOP
mesh_8x8_buf8 wired TABLE_BASED RANDOM
mesh_8x8_buf8 wireless XY RANDOM
mesh_8x8_buf8 wireless ODD_EVEN BUFFER_LEVEL
mesh_16x16_buf4 wired XY RANDOM
mesh_16x16_buf4 wired WEST_FIRST RANDOM
mesh_16x16_buf4 wired NORTH_LAST BUFFER_LEVEL
mesh_16x16_buf4 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_16x16_buf4 wired ODD_EVEN NOP
mesh_16x16_buf4 wired DYAD NOP
mesh_16x16_buf4 wired TABLE_BASED RANDOM
mesh_16x16_buf4 wireless XY RANDOM
mesh_16x16_buf4 wireless ODD_EVEN BUFFER_LEVEL
mesh_16x16_buf8 wired XY RANDOM
mesh_16x16_buf8 wired WEST_FIRST RANDOM
mesh_16x16_buf8 wired NORTH_LAST BUFFER_LEVEL
mesh_16x16_buf8 wired NEGATIVE_FIRST BUFFER_LEVEL
mesh_16x16_buf8 wired ODD_EVEN NOP
mesh_16x16_buf8 wired DYAD NOP
mesh_16x16_buf8 wired TABLE_BASED RANDOM
mesh_16x16_buf8 wireless XY RANDOM
mesh_16x16_buf8 wireless ODD_EVEN BUFFER_LEVEL
mesh_8x8_buf4_clock250 wired XY RANDOM
mesh_8x8_buf4_vc2 wireless XY RANDOM
mesh_8x8_buf4_transpose1 wired XY RANDOM
mesh_8x8_buf4_bitreversal wired XY RANDOM
mesh_8x8_buf4_local wired XY RANDOM
mesh_8x8_buf4_ulocal wired XY RANDOM
mesh_8x8_buf4_stress wired XY RANDOM
mesh_8x8_buf4_traffic_table wired XY RANDOM
mesh_8x8_buf4_traffic_hardcoded wired XY RANDOM
mesh_8x8_buf4_powermanager wireless XY RANDOM
baseline_8_buf4 wired DELTA RANDOM
baseline_16_buf4 wired DELTA RANDOM
omega_8_buf4 wired DELTA RANDOM
omega_16_buf4 wired DELTA RANDOM
butterfly_8_buf4 wired DELTA RANDOM
butterfly_8_buf4 wireless DELTA RANDOM
butterfly_16_buf4 wired DELTA RANDOM
butterfly_16_buf4 wireless DELTA RANDOM
butterfly_8_buf4_relay wireless DELTA RANDOM
butterfly_16_buf4_relay wireless DELTA RANDOM
mesh_4x4_dnn wired XY RANDOM
